Fare,survived
7.8292,0
7,1
9.6875,0
8.6625,0
12.2875,1
9.225,1
7.6292,1
29,0
7.2292,1
24.15,0
7.8958,0
26,0
82.2667,0
26,0
61.175,0
27.7208,1
12.35,0
7.225,0
7.925,1
7.225,1
59.4,0
3.1708,1
31.6833,1
61.3792,0
262.375,1
14.5,0
61.9792,1
7.225,0
30.5,0
21.6792,0
26,0
31.5,0
20.575,1
23.45,1
57.75,0
7.2292,0
8.05,1
8.6625,1
9.5,0
56.4958,0
13.4167,0
26.55,0
7.85,0
13,1
52.5542,1
7.925,0
29.7,0
7.75,0
76.2917,1
15.9,1
60,0
15.0333,0
23,1
263,1
15.5792,0
29.125,1
7.8958,0
7.65,0
16.1,0
262.375,1
7.8958,0
13.5,0
7.75,0
7.725,1
262.375,0
21,1
7.8792,1
42.4,0
28.5375,0
263,1
7.75,1
7.8958,0
7.925,1
27.7208,0
211.5,1
211.5,0
8.05,0
25.7,1
13,0
7.75,1
15.2458,1
221.7792,0
26,0
7.8958,0
10.7083,0
14.4542,0
7.8792,1
8.05,1
7.75,1
23,1
13.9,1
7.775,0
52,1
8.05,0
26,0
7.7958,0
78.85,1
7.925,0
7.8542,1
8.05,0
55.4417,1
26,0
7.75,0
7.775,0
8.5167,1
22.525,0
7.8208,0
7.75,0
8.7125,0
13,0
15.0458,0
7.7792,1
31.6792,1
7.2833,1
221.7792,1
14.4542,0
6.4375,0
16.7,1
75.2417,0
26,1
15.75,1
7.75,0
57.75,1
7.25,0
7.75,0
16.1,1
7.7958,0
23.25,1
13,0
8.05,0
8.05,0
28.5,0
25.4667,1
6.4375,0
7.8958,0
7.8542,0
7.225,0
13,0
8.05,1
46.9,0
46.9,1
151.55,1
262.375,0
26,0
26.55,0
18,0
51.8625,0
8.05,0
26.55,0
26,0
83.1583,1
7.8958,0
12.1833,1
31.3875,0
7.55,0
221.7792,1
7.8542,1
26.55,0
13.775,1
7.7333,1
15.2458,1
13.5,1
7,0
13,0
22.025,1
50.4958,0
34.375,0
27.7208,1
8.9625,1
7.55,0
7.225,0
13.9,0
7.2292,0
31.3875,0
39,1
36.75,1
55.4417,0
39,1
83.1583,1
13,0
83.1583,0
53.1,1
7.75,0
247.5208,1
16,0
21,1
8.05,0
69.55,1
13,0
26,0
26,0
14.5,1
12.35,0
32.5,1
7.8542,0
134.5,0
7.775,1
10.5,0
8.1125,1
15.5,1
14.4,1
227.525,0
26,1
10.5,0
25.7417,0
7.75,1
10.5,0
27.7208,1
7.8958,0
22.525,0
7.05,0
73.5,1
26,1
7.775,1
42.5,0
7.8792,1
164.8667,0
211.5,1
8.05,0
13.8583,1
8.05,0
10.5,1
7.7958,0
27.4458,1
15.2458,1
7.7958,0
7.75,1
15.1,0
13,0
65,0
26.55,1
6.4958,0
7.8792,0
71.2833,1
7.8542,0
75.25,0
7.225,0
13,1
106.425,1
27.7208,1
30,1
134.5,0
7.8875,0
23.45,0
51.8625,0
21,1
32.5,0
26,1
14.4542,1
27.75,1
7.925,0
136.7792,0
9.325,0
9.5,0
7.55,0
7.75,0
8.05,0
13,1
7.775,0
17.4,0
7.8542,0
23,1
12.1833,1
12.7375,0
7.8958,0
0,0
7.55,0
8.05,1
8.6625,0
75.2417,0
7.75,0
136.7792,1
15.5,1
7.225,0
26,1
10.5,0
26,0
21,0
10.5,0
8.6625,1
13.775,1
7.75,1
15.2458,1
20.2125,1
7.25,0
7.25,0
82.2667,0
7.2292,0
8.05,0
39.6,0
6.95,1
7.2292,0
81.8583,0
9.5,0
7.8958,0
41.5792,1
21.6792,0
45.5,0
7.8542,0
7.775,0
15.0458,0
21,0
8.6625,0
7.75,1
26.55,1
151.55,0
9.35,1
93.5,0
14.1083,1
8.6625,0
7.225,0
7.575,0
7.75,1
135.6333,1
7.7333,1
146.5208,0
10.5,0
7.8542,0
31.5,0
7.775,0
7.2292,0
13,0
26.55,0
211.3375,1
7.05,0
39,1
79.2,0
26,0
13,0
36.75,1
29.7,0
7.225,0
15.7417,1
7.8958,0
26,0
13,0
7.2292,0
31.5,0
7.2292,0
10.5,0
7.5792,0
69.55,0
512.3292,1
14.5,0
7.65,1
13,0
7.2292,1
13.5,0
21,1
63.3583,1
10.5,0
73.5,1
65,0
20.575,1
26,0
51.4792,1
7.8792,0
7.75,0
15.55,1
69.55,0
37.0042,1
21,1
8.6625,0
55.4417,1
69.55,1
14.4583,0
39.6875,1
59.4,0
13.8583,0
11.5,0
134.5,1
0,0
13,0
81.8583,0
262.375,1
8.6625,1
11.5,0
50,0
31.3875,1
7.75,0
7.8792,0
14.5,1
16.1,1
12.875,0
65,1
7.775,0
13,0
7.75,0
21.075,1
93.5,0
39.4,1
20.25,1
10.5,0
22.025,0
60,0
7.25,0
79.2,0
7.775,0
7.7333,0
164.8667,1
21,0
59.4,0
47.1,0
27.7208,0
13.8625,0
10.5,0
211.5,0
7.7208,1
13.775,1
7.75,1
90,1
7.775,1
8.05,0
108.9,1
7.25,0
8.05,0
22.3583,0
